Description;Vendor;Amount Paid;Type;Expense type (CF)
Work permit/ fees_Avazhanskiy;Public Services Center Yunusobod;270 000;AP;Work permits
Bank fee for a payment order 42 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 44 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Gorokhova;Public Services Center Yunusobod;540 000;AP;Work permits
Bank fee for a payment order 49 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 45 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 47 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Legal services;CENTIL;16 717 815;AP;Legal & Tax consulting Fees
Work permit/ fees_Kachan;Public Services Center Yunusobod;540 000;AP;Work permits
Work permit/ fees_Balasanov;Public Services Center Yunusobod;540 000;AP;Work permits
Bank fee for a payment order 46 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Zakharov;Public Services Center Yunusobod;540 000;AP;Work permits
Bank fee for a payment order 49 in UZS;NBU OF UZBEKISTAN;83 589;Cashbook;
Bank fee for a payment order 50 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Conferences- Other (Avajansky);dfs;14 000 000;AP;Business Development 
Bank fee for a payment order 50 in UZS;NBU OF UZBEKISTAN;70 000;Cashbook;
Bank fee for a payment order 43 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_PIT _Avazhanskiy Anton;A&M ;31 500 000;Payroll 1;Payroll
Salary tax_social security contribution _Avazhanskiy Anton;A&M ;31 500 000;Payroll 1;TAXES - Payroll
Work permit/ fees_Velikhanova;Public Services Center Yunusobod;540 000;AP;Work permits
Work permit/ fees_Alexeychuk;Public Services Center Yunusobod;270 000;AP;Work permits
Bank fee for a payment order 48 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 51 in UZS;NBU OF UZBEKISTAN;55 000;Cashbook;
Transfer from UZS account to Corp Card;NBU OF UZBEKISTAN;11 000 000;Cashbook;
Funding from UZS account ;NBU OF UZBEKISTAN; (5 000 000);Cashbook;
Office supplies - corporate mobile phone;MEDIAPARK GROUP LLC;1 209 000;AP;Information Technology 
Office supplies ;PERSPECTIVE TRADE LLC;633 100;AP;Office supply
Funding from UZS account ;NBU OF UZBEKISTAN; (5 000 000);Cashbook;
BD expense ;NAVOIY TINCH TEKSTIL LLC;300 000;AP;Business Development 
Funding from UZS account ;NBU OF UZBEKISTAN; (11 000 000);Cashbook;
Loan from A&M;Alvarez & Marsal Europe Holdings Limited; (100 000);AP;
_onversion EUR to UZS;NBU OF UZBEKISTAN;13 000;Cashbook;
_onversion EUR to UZS;NBU OF UZBEKISTAN;40 000;Cashbook;
_onversion EUR to UZS;NBU OF UZBEKISTAN;9 000;Cashbook;
Conversion EUR to UZS;NBU OF UZBEKISTAN; (67 060 500);Cashbook;
Bank fee for a payment order 61 in UZS;NBU OF UZBEKISTAN;75 000;Cashbook;
Transfer from UZS account to Corp Card;NBU OF UZBEKISTAN;15 000 000;Cashbook;
Bank fee for a payment order 57 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Starostin;Public Services Center Yunusobod;270 000;AP;Work permits
Bank fee for a payment order 56 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Nuretdinov;Public Services Center Yunusobod;270 000;AP;Work permits
Work permit/ fees_Chumakova;Public Services Center Yunusobod;540 000;AP;Work permits
Work permit/ fees_Kinev;Public Services Center Yunusobod;270 000;AP;Work permits
Bank fee for a payment order 55 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 58 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 59 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Kharchenko;Public Services Center Yunusobod;270 000;AP;Work permits
Work permit/ fees_Pyaterneva;Public Services Center Yunusobod;540 000;AP;Work permits
Work permit/ fees_Petelin;Public Services Center Yunusobod;270 000;AP;Work permits
Bank fee for a payment order 53 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 52 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Toporov;Public Services Center Yunusobod;270 000;AP;Work permits
Bank fee for a payment order 54 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 60 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Kuzmin;Public Services Center Yunusobod;270 000;AP;Work permits
Work permit/ fees_Yekidina;Public Services Center Yunusobod;9 000 000;AP;Work permits
Bank fee for a payment order 62 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 65 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 64 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 63 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Chuykov;Public Services Center Yunusobod;9 000 000;AP;Work permits
Work permit/ fees_Samutichev;Public Services Center Yunusobod;9 000 000;AP;Work permits
Work permit/ fees_Likhacheva;Public Services Center Yunusobod;9 000 000;AP;Work permits
Work permit/ fees_Lukashenko;Public Services Center Yunusobod;9 000 000;AP;Work permits
Bank fee for a payment order 66 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Transfer from Corp Card account to UZS;NBU OF UZBEKISTAN; (15 000 000);Cashbook;
Bank fee for a payment order 67 in UZS;NBU OF UZBEKISTAN;75 000;Cashbook;
Transfer from UZS account to Corp Card;NBU OF UZBEKISTAN;15 000 000;Cashbook;
Conversion EUR to UZS;NBU OF UZBEKISTAN; (141 156 000);Cashbook;
Work permit/ fees_Medvedev;Public Services Center Yunusobod;9 000 000;AP;Work permits
Work permit/ fees_Andreycheva;Public Services Center Yunusobod;9 000 000;AP;Work permits
Bank fee for a payment order 70 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 72 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Chumakov;Public Services Center Yunusobod;9 000 000;AP;Work permits
Bank fee for a payment order 69 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 68 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Ponomareva;Public Services Center Yunusobod;9 000 000;AP;Work permits
Bank fee for a payment order 71 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Fedotov;Public Services Center Yunusobod;9 000 000;AP;Work permits
Work permit/ fees_Avazhanskiy;Public Services Center Yunusobod;270 000;AP;Work permits
Bank fee for a payment order 73 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 74 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit/ fees_Khodakovskiy;Public Services Center Yunusobod;300 000;AP;Work permits
Funding from UZS account ;NBU OF UZBEKISTAN; (15 000 000);Cashbook;
Office supplies - printer;MEDIAPARK GROUP LLC;6 396 000;AP;Information Technology 
Office supplies - printer;MEDIAPARK GROUP LLC;6 396 000;AP;Information Technology 
BD expense;CHECKPOINT TIME LLC;359 375;AP;Business Development 
BD expense;HANOK HOUSE LLC;2 144 400;AP;Business Development 
_onversion EUR to UZS;NBU OF UZBEKISTAN;5 700;Cashbook;
_onversion EUR to UZS;NBU OF UZBEKISTAN;12 000;Cashbook;
Bank services;NBU OF UZBEKISTAN;997 826;Cashbook;
_ellular services;COSCOM LLC;83 065;AP;Telephone, internet
Bank fee for a payment order 77 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 77 in UZS;NBU OF UZBEKISTAN;75 000;Cashbook;
Bank fee for a payment order 75 in UZS;NBU OF UZBEKISTAN;415;Cashbook;
_ellular services;COSCOM LLC;15 000 000;AP;Telephone, internet
Bank fee for a payment order 75 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Recruiting Agency Fees;HEL-DEN LLC;1 691 000;AP;Recruitment Fees
Bank fee for a payment order 78 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 78 in UZS;NBU OF UZBEKISTAN;8 455;Cashbook;
