Description;Vendor;Amount Paid;Type;Expense type (CF)
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN;1 500;Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN;8 500;Cashbook;
Intercompany loan;Alvarez and Marsal Europe Holdings Limited; (449 894);Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN;20 000;Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN;160 000;Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN;21 000;Cashbook;
Currency Exchange EUR/RUB;NBU OF UZBEKISTAN;7 273;Cashbook;
Currency Exchange EUR/RUB;NBU OF UZBEKISTAN;109 739;Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN;15 000;Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN;80 000;Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN;15 000;Cashbook;
Transfer from EUR account to RUB Account;NBU OF UZBEKISTAN; (400 000);Cashbook;
Transfer from EUR Account to RUB Account;NBU OF UZBEKISTAN; (6 035 638);Cashbook;
Office supply (furniture);A&M CIS LLP (Moscow Branch);6 035 638;AP;Fixed assets purchase
Real estate market analysis in Tashkent;Cushman and Wakefield;400 000;AP;Office rent 
Subletting agreement _ 40__-___  10.06.2022_;A&M PE UZB; (12 919 893);AR;Office rent 
accounting services in July 2022;MAZARS ADVISORY LLC __ Ê;43 654 603;AP;Accounting Services 
customs broker services;Infinitive Vector;7 200 000;AP;Fixed assets purchase
Bank fee for order 183 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 183 in UZS;NBU OF UZBEKISTAN;218 273;Cashbook;
Bank fee for order 184 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 184 in UZS;NBU OF UZBEKISTAN;36 000;Cashbook;
Bank fee for Corp Card 200;NBU OF UZBEKISTAN;80 000;Cashbook;
Bank fee for Corp Card 201;NBU OF UZBEKISTAN;80 000;Cashbook;
Bank fee for order 299280731 in UZS;NBU OF UZBEKISTAN;80;Cashbook;
Bank fee for order 299280732 in UZS;NBU OF UZBEKISTAN;80;Cashbook;
Bank fee for order 185 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_PIT_Anastasyev;A&M;5 386 066;Payroll 1;Subcontractors
Bank fee for order 187 in UZS;NBU OF UZBEKISTAN;3 000;Cashbook;
Bank fee for order 187 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
courier services;BTS Express Cargo Services;600 000;AP;All other
Salary tax_Social security contribution_Anastasyev;A&M;5 386 066;Payroll 1;TAXES - Payroll
Bank fee for order 186 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 725701 in EUR account;NBU OF UZBEKISTAN;58 851;Cashbook;
Bank fee for order 725701 in EUR account;NBU OF UZBEKISTAN;255 000;Cashbook;
Refund Salary tax_PIT;A&M; (423 982);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (1 291 992);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (553 770);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (30 080 189);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (4 359 842);Payroll 1;Payroll
Refund Salary tax_Social security contribution;A&M; (346 029);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (864 464);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (703 181);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (36 231 986);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (5 613 775);Payroll 1;TAXES - Payroll
Refund Salary tax_PIT;A&M; (20 109 874);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (72 140);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (1 802 673);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (3 769 909);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (4 417 331);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (473 404);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (1 013 880);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (476 000);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (416 000);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (802 000);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (11 199 000);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (4 240 853);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (776 088);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (350 826);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (5 002 173);Payroll 1;Payroll
Refund Salary tax_Social security contribution;A&M; (1 888 133);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (156 430);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (2 052 124);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (3 799 320);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (4 340 000);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (474 926);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (1 022 400);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (480 000);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (360 000);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (1 080 000);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (4 705 416);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (4 270 643);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (780 467);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (15 767);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (2 192);Payroll 1;TAXES - Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;150 000;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;397 527;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;827 774;Cashbook;Payroll
travel expenses-tickets;Lango;28 868 121;AP;Travel&Transport
Bank fee for order 188 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 190 in UZS;NBU OF UZBEKISTAN;20 550;Cashbook;
Bank fee for order 189 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 189 in UZS;NBU OF UZBEKISTAN;500;Cashbook;
Bank fee for order 190 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
travel expenses_service fees;Lango;100 000;AP;Travel&Transport
Printing & Photocopying outside;Printuz;2 601 300;AP;Office supply
Bank fee for order 188 in UZS;NBU OF UZBEKISTAN;144 341;Cashbook;
Bank fee for order 191 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
travel expenses-hotels;Lango;4 110 000;AP;Travel&Transport
Bank fee for order 191 in UZS;NBU OF UZBEKISTAN;13 007;Cashbook;
Printing & Photocopying outside;Printuz;6 670 000;AP;Travel&Transport
Bank fee for order 192 in UZS;NBU OF UZBEKISTAN;33 350;Cashbook;
Bank fee for order 192 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;713 320;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;600 834;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;2 000 000;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;9 768 000;Cashbook;Payroll
Refund Salary tax_PIT;A&M; (11 710 695);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (2 181 045);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (939 020);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (3 621 320);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (6 531 290);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (1 351 400);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (1 769 194);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (6 186 357);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (21 443 439);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (500);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (666 000);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (118 452 418);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (557 192);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (1 095 735);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (33 045 744);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (1 971 833);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (1 936 987);Payroll 1;Payroll
Refund Salary tax_Social security contribution;A&M; (6 249 240);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (2 220 000);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (907 862);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (3 002 567);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (6 482 634);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (2 647 601);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (1 615 623);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (805 005);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (21 622 786);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (30 000);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (260 400);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (119 275 148);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (574 352);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (43 206);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (532 322);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (1 838 032);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (25 010 400);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (2 089 120);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (1 273 610);Payroll 1;TAXES - Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;8 939 749;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;9 120 563;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;13 367 249;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;3 205 776;Cashbook;Payroll
Bank fee for order 202 in UZS;NBU OF UZBEKISTAN;35 000;Cashbook;
Transfer from UZS account to Transit account;NBU OF UZBEKISTAN;7 000 000;Cashbook;
Transfer from UZS account to Transit account;NBU OF UZBEKISTAN;6 000 000;Cashbook;
Bank fee for order 204 in UZS;NBU OF UZBEKISTAN;30 000;Cashbook;
Bank fee for order 204 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 201 in UZS;NBU OF UZBEKISTAN;601 457;Cashbook;
Office supply (furniture);Improve LLC;120 291 450;AP;Fixed assets purchase
Bank fee for order 201 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Office supply (furniture);Eurollo;22 000 053;AP;Fixed assets purchase
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;110 000;Cashbook;Payroll
Refund Salary tax_PIT;A&M; (28 769 977);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (2 930 968);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (277 146);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (266 917);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (852 980);Payroll 1;Payroll
Refund Salary tax_PIT;A&M; (909 074);Payroll 1;Payroll
Refund Salary tax_Social security contribution;A&M; (29 636 720);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (2 944 009);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (1 596 062);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (649 444);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (12 549);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (109 467 928);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (3 378 623);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (12 939 754);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (1 080 000);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (5 095 069);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (3 376 260);Payroll 1;TAXES - Payroll
Refund Salary tax_Social security contribution;A&M; (26 857 413);Payroll 1;TAXES - Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;2 905 711;Cashbook;Reimbursment exp
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;15 284 252;Cashbook;Reimbursment exp
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;44 528 121;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;5 807 087;Cashbook;Reimbursment exp
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;32 239 185;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;15 284 252;Cashbook;Reimbursment exp
taxi services;MyTaxi;2 321 344;AP;Travel&Transport
taxi services;MyTaxi;232 134;AP;Travel&Transport
Work Permit_Beleshova;Public Services Center Yunusobod;270 000;AP;Work permits
Refund from Transit account to UZS account;NBU OF UZBEKISTAN; (13 000 000);Cashbook;
Bank fee for order 209,210 in UZS;NBU OF UZBEKISTAN;12 767;Cashbook;
Bank fee for order 209,210,218 in UZS;NBU OF UZBEKISTAN;900;Cashbook;
Transfer from UZS account to Transit account;NBU OF UZBEKISTAN;6 000 000;Cashbook;
Transfer from UZS account to Transit account;NBU OF UZBEKISTAN;7 000 000;Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;3 504 350;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN; (1 673 990);Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;436 397 536;Cashbook;Payroll
Currency exchange EUR/UZS;NBU OF UZBEKISTAN; (561 100 000);Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;1 631 450;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;165 543 478;Cashbook;Payroll
Bank fee for order 227 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 226 in UZS;NBU OF UZBEKISTAN;21 353;Cashbook;
Bank fee for order 226 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Recruiting Agency Fees;Hel Den LLC;4 270 570;AP;Recruitment Fees
Supplies Kitchen;Shaffof Servis;2 500 000;AP;Office supply
Bank fee for order 228 in UZS;NBU OF UZBEKISTAN;2 200;Cashbook;
Bank fee for order 228 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Supplies Kitchen;Shaffof Servis;440 000;AP;Office supply
Bank fee for order 227 in UZS;NBU OF UZBEKISTAN;12 500;Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;16 375 984;Cashbook;Payroll
Supplies Kitchen;Premium Tea Group ;10 855 000;AP;Office supply
Bank fee for order 229 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 229 in UZS;NBU OF UZBEKISTAN;54 275;Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;250 000;Cashbook;Payroll
Bank fee for order 232 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work Permit_Beleshova;Public Services Center Yunusobod;9 000 000;AP;Work permits
Bank fee for order 221 in UZS;NBU OF UZBEKISTAN;30 000;Cashbook;
Bank fee for order 220 in UZS;NBU OF UZBEKISTAN;35 000;Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;15 807 664;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;8 585 197;Cashbook;Payroll
Rent Paid;OOO Invest Assets Plus;1 304 348;AP;Office rent 
Office supply ;Kansler LLC;5 651 400;AP;Office supply
Bank fee for order 235 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 235 in UZS;NBU OF UZBEKISTAN;6 522;Cashbook;
Bank fee for order 236 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 236 in UZS;NBU OF UZBEKISTAN;28 257;Cashbook;
Bank fee for order 743758 in EUR account;NBU OF UZBEKISTAN;87 547;Cashbook;
Bank fee for order 743758 in EUR account;NBU OF UZBEKISTAN;255 000;Cashbook;
Bank fee for order 239 in UZS;NBU OF UZBEKISTAN;9 315;Cashbook;
network hardware;COMPUTER COMPONENTS;1 863 000;AP;Information Technology 
Bank fee for order 239 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 237 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Supplies Kitchen ;NEXT ARTIFICIAL SOLUTIONS;1 020 000;AP;Office supply
Bank fee for order 237 in UZS;NBU OF UZBEKISTAN;5 100;Cashbook;
Bank fee for order 238 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Internet;Uzbektelecom;6 029 355;AP;Telephone, internet
Bank fee for order 238 in UZS;NBU OF UZBEKISTAN;30 147;Cashbook;
Transfer from UZS account to Transit account;NBU OF UZBEKISTAN;7 000 000;Cashbook;
Bank fee for order 240 in UZS;NBU OF UZBEKISTAN;35 000;Cashbook;
Refund of payment for tender participation ;JV XT-Xarid TexnologiyalariLTD; (218 000 000);AP;Tenders' participation
Bank fee for order 242 in UZS;NBU OF UZBEKISTAN;177 292;Cashbook;
Rent Paid;OOO Invest Assets Plus;157 697 492;AP;Office rent 
Bank fee for order 242 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 241 in UZS;NBU OF UZBEKISTAN;788 487;Cashbook;
Bank fee for order 241 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
travel expenses-tickets;Lango;35 458 305;AP;Travel&Transport
travel expenses-tickets;Lango;675 000;AP;Travel&Transport
Bank fee for order 244 in UZS;NBU OF UZBEKISTAN;3 375;Cashbook;
Bank fee for order 243 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 243 in UZS;NBU OF UZBEKISTAN;1 000;Cashbook;
Bank fee for order 244 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
travel expenses-hotels;Lango;16 498 000;AP;Travel&Transport
travel expenses_service fees;Lango;200 000;AP;Travel&Transport
Bank fee for order 245 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 245 in UZS;NBU OF UZBEKISTAN;82 490;Cashbook;
Bank fee for order 246 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work Permit_Astakhov;Treasury of the Ministry of Finance;270 000;AP;Work permits
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;1 103 811;Cashbook;Payroll
apartment rent (Samutichev);Najmiddinova Mekhrigul;4 316 657;AP;Business Development 
Bank fee for order 248 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for order 248 in UZS;NBU OF UZBEKISTAN;21 583;Cashbook;
Currency exchange EUR/UZS;NBU OF UZBEKISTAN; (867 600 000);Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;509 592 279;Cashbook;Payroll
Bank fee for order 247 in UZS;NBU OF UZBEKISTAN;5 110;Cashbook;
Bank fee for order 247 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
parking services;OOO Invest Assets Plus;1 021 935;AP;Office rent 
Bank fee for order 251 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
accounting services in August 2022;MAZARS ADVISORY LLC __ Ê;43 654 603;AP;Accounting Services 
Bank fee for order 251 in UZS;NBU OF UZBEKISTAN;218 273;Cashbook;
Subletting agreement _ 40__-___  10.06.2022_;A&M PE UZB; (12 919 893);AR;Office rent 
Team meeting_meal;EXTRA KITCHEN GROUP;1 716 375;AP;Practice Development
BD meal(Latipov_Davidov_NMMC);NAVOIY TINCH TEKSTIL;1 644 500;AP;Practice Development
Transfer from Transit account to Corp Card;NBU OF UZBEKISTAN; (7 000 000);Cashbook;
BD meal(Avesta_Srapionov);Bistecca LLC;1 721 500;AP;Practice Development
BD meal(Djurabekov_Minenergy);Extra Kitchen Group LLC;1 083 375;AP;Practice Development
Printing for presentation outside;KHK PRINTUZ;3 343 050;AP;All other
Office supplies;UNIVERSAL HOME;759 100;AP;Office supply
Office supplies- vacuum cleaner;ATE LLC;5 621 000;AP;Office supply
Transfer from Transit account to Corp Card;NBU OF UZBEKISTAN; (6 000 000);Cashbook;
Supplies Kitchen;ANGLESEY FOOD DP LLC;75 740;AP;Office supply
Supplies Kitchen ;Mediapark Group LLC;2 246 000;AP;Office supply
Supplies Kitchen ;Dostlar Biznes Group;63 000;AP;Office supply
Supplies Kitchen ;YATT PAK SERGEY VLADIMIROVICH;543 000;AP;Office supply
Supplies Kitchen ;Home Garden LLC;834 900;AP;Office supply
Supplies Kitchen ;Majid Al Futtaim LLC;811 500;AP;Office supply
Supplies Kitchen ;HOTPOINT STORE;117 000;AP;Office supply
Transfer from Transit account to Corp Card;NBU OF UZBEKISTAN; (7 000 000);Cashbook;
Supplies Kitchen ;Strou City Plus LLC;53 970;AP;Office supply
consulting services_Anastasyev;A&M;3 520;Payroll 1;Subcontractors
Intercompany loan;Alvarez and Marsal Europe Holdings Limited; (449 894);Cashbook;
Currency exchange EUR/UZS;NBU OF UZBEKISTAN;50 000;Cashbook;
Consulting services;Shneider Group;5 347;AP;Legal & Tax consulting Fees
Currency exchange EUR/UZS;NBU OF UZBEKISTAN;80 000;Cashbook;
Bank fee on foreign banks;NBU OF UZBEKISTAN;14;Cashbook;
Bank fee for a payment order 254 in UZS;NBU OF UZBEKISTAN;5 411;Cashbook;
apartment rent (Chuykov);Zoirova Surayyo;5 411 264;AP;Business Development 
taxi services;My Taxi;281 764;AP;Travel&Transport
Bank fee for a payment order 253 in UZS;NBU OF UZBEKISTAN;14 088;Cashbook;
taxi services;My Taxi;2 817 642;AP;Travel&Transport
Bank fee for a payment order 252 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 253 in UZS;NBU OF UZBEKISTAN;1 409;Cashbook;
Bank fee for a payment order 252 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;16 281 948;Cashbook;
Bank fee for a payment order 256 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
mobile phone services;COSCOM LLC;5 000 000;AP;Telephone, internet
Bank fee for a payment order 256 in UZS;NBU OF UZBEKISTAN;25 000;Cashbook;
Bank fee for a payment order 257 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Work permit_Astakhov;Treasury of the Ministry of Finance;300 000;AP;Work permits
Bank fee for a payment order 767876 in EUR ;NBU OF UZBEKISTAN;143 847;Cashbook;
Bank fee for a payment order 767876 in EUR ;NBU OF UZBEKISTAN;255 000;Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;7 642 126;Cashbook;Payroll
VAT_tax agent;A&M;8 887 193;Cashbook;Taxes - VAT
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;30 568 504;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;27 636 157;Cashbook;Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;5 519 055;Cashbook;Payroll
Consulting services;Schneider Group;6 500 000;AP;Accounting Services 
Bank fee for a payment order 267 in UZS;NBU OF UZBEKISTAN;6 500;Cashbook;
travel expenses-tickets;Lango;51 224 924;AP;Travel&Transport
Bank fee for a payment order 263 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 263 in UZS;NBU OF UZBEKISTAN;256 125;Cashbook;
travel expenses_service fees;Lango;400 000;AP;Travel&Transport
travel expenses-tickets;Lango;1 504 140;AP;Travel&Transport
Bank fee for a payment order 265 in UZS;NBU OF UZBEKISTAN;68 420;Cashbook;
Bank fee for a payment order 265 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 266 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
travel expenses-hotels;Lango;13 684 000;AP;Travel&Transport
legal services;Centil;16 443 000;AP;Legal & Tax consulting Fees
Bank fee for a payment order 266 in UZS;NBU OF UZBEKISTAN;7 521;Cashbook;
Bank fee for a payment order 264 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 264 in UZS;NBU OF UZBEKISTAN;2 000;Cashbook;
Bank fee for a payment order 268 in UZS;NBU OF UZBEKISTAN;82 215;Cashbook;
Bank fee for a payment order 268 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;673 180;Cashbook;Reimbursment exp
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;328 600;Cashbook;Reimbursment exp
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;2 000 000;Cashbook;Reimbursment exp
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;1 600 972;Cashbook;Reimbursment exp
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;701 500;Cashbook;Reimbursment exp
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;35 000;Cashbook;Reimbursment exp
Currency exchange EUR/UZS;NBU OF UZBEKISTAN; (196 614 000);Cashbook;
Currency exchange EUR/UZS;NBU OF UZBEKISTAN; (273 075 000);Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;524 692 640;Cashbook;Payroll
Internet;Uzbektelecom;19 900 000;AP;Telephone, internet
Bank fee for a payment order 276 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_Social security contribution;A&M;172 620 000;Payroll 1;TAXES - Payroll
Bank fee for a payment order 276 in UZS;NBU OF UZBEKISTAN;99 500;Cashbook;
Bank fee for a payment order 9842085948 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_Social security contribution;A&M;172 618 458;Payroll 1;TAXES - Payroll
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;3 843 819;Cashbook;Reimbursment exp
Bank fee for a payment order 282 in UZS;NBU OF UZBEKISTAN;26 580;Cashbook;
Bank fee for a payment order 282 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 281 in UZS;NBU OF UZBEKISTAN;11 500;Cashbook;
Bank fee for a payment order 281 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
office furniture certification;Best Expert Result;5 316 030;AP;Fixed assets purchase
Consulting services;Best Expert Result;2 300 000;AP;Fixed assets purchase
Currency exchange EUR/UZS;NBU OF UZBEKISTAN; (164 145 000);Cashbook;
Bank fee for a payment order 283 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Bank fee for a payment order 283 in UZS;NBU OF UZBEKISTAN;6 531;Cashbook;
Office supply ;Kansler LLC;1 306 200;AP;Office supply
