Description,Vendor,Type,Expense type (CF)
Bank fee for a payment order 77 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 75 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 78 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 31 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 32 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 33 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 79 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 85 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 89 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 86 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 88 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 87 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 90 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 91 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 93 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 94 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 96 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 107 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 106 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 105 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 103 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 104 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 109 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 110 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Currency Exchange EUR UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 131 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 130 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 132 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 124 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 126 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 125 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 127 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 129 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 128 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Currency Exchange EUR UZS,A&M,Cashbook,Cashbook
Bank fee for order 133 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 2 in RUB account in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 2 in RUB account in UZS SWIFT,NBU OF UZBEKISTAN,Cashbook,Cashbook
Transfer from UZS account to Corp Card,A&M,Cashbook,Cashbook
Bank fee for order 170 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 167 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 169 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 168 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 171 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 172 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 173 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 9786131840  in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 176  in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 174  in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 175  in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 178 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 179 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Currency Exchange EUR UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Intercompany loan,Alvarez and Marsal Europe Holdings Limited,Cashbook,Cashbook
Currency Exchange EUR RUB,NBU OF UZBEKISTAN,Cashbook,Cashbook
Transfer from EUR account to RUB Account,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 183 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 184 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for Corp Card 200,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for Corp Card 201,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 299280731 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 299280732 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 185 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 187 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 186 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 725701 in EUR account,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 188 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 190 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 189 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 191 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 192 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 202 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Transfer from UZS account to Transit account,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 204 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 201 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Refund from Transit account to UZS account,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 227 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 226 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 228 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 229 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 232 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 221 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 220 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 235 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 236 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 743758 in EUR account,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 239 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 237 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 238 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 240 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 242 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 241 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 244 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 243 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 245 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 246 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 248 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 247 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for order 251 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Transfer from Transit account to Corp Card,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee on foreign banks,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 254 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 253 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 252 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Transfer from UZS account to UZS Salary,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 256 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 257 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 767876 in EUR ,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 267 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 263 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 265 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 266 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 264 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 268 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 276 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 9842085948 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 282 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 281 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 283 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 284 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 286 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 288 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 287 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 289 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 290 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 294 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 291 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 293 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 297 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 298 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 299 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 301 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 300 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
Bank fee for a payment order 302 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook
