Description,Vendor,Type,Expense type (CF)
Work permit  fees Avazhanskaia Nadezhda,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Avajansky Anton,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Chumakova Zhanna,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Kachan,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Kuzmin,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Medvedev,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Starostin,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Toporov,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Kharchenko,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Andreicheva,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Ekidina Anastasiya,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Chuikov Egor,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Chumakov Anton,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Likhacheva Evgeniya,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Kinev Pavel,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Ponomareva Sofiya,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Samutichev Evgenii,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Lukashenko Yana,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Khodakovsky Yaroslav,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Fedotov Pavel,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Avazhanskiy,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Gorokhova,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Balasanov,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Zakharov,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Alexeychuk,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Nuretdinov,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Chumakova,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Kinev,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Pyaterneva,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Petelin,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Yekidina,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Chuykov,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Samutichev,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Likhacheva,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Lukashenko,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Andreycheva,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Chumakov,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Ponomareva,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Fedotov,Public Services Center Yunusobod,AP,Work permits
Work permit  fees Khodakovskiy,Public Services Center Yunusobod,AP,Work permits
Work permit Sosnin,Public Services Center Yunusobod,AP,Work permits
Work Permit Beleshova,Public Services Center Yunusobod,AP,Work permits
Work Permit Astakhov,Treasury of the Ministry of Finance,AP,Work permits
