,Description,Vendor,Type,Expense type (CF),Category_ML
284,Supplies Kitchen ,GOLD MIRACLE,AP,Office supply,Office supply
285,Supplies Kitchen ,YATT SIDIKXODJAYEV NAZIRXON,AP,Office supply,Office supply
286,Office supplies,ASIA CLEAN CENTER LLC,AP,Office supply,Office supply
287,Supplies Kitchen,Silver Water Dispenser,AP,Office supply,Office supply
288,Printer - Supplies,COMPUTER COMPONENTS,AP,Office supply,Business Development 
289,Salary payment Avajansky Anton,A&M,Payroll 1,Payroll,Payroll
290,Salary tax PIT  Avazhanskiy Anton,A&M ,Payroll 1,Payroll,Payroll
291,Salary payment,A&M ,Payroll 1,Payroll,Payroll
292,Salary payment Toporov,A&M ,Payroll 1,Payroll,Payroll
293,Salary tax PIT  Toporov,A&M ,Payroll 1,Payroll,Payroll
294,Salary payment,A&M ,AP,Payroll,Payroll
295,Salary tax PIT ,A&M ,AP,Payroll,Payroll
296,Vacation payment KHODAKOVSKIY YAROSLAV XXX,A&M,Payroll 1,Payroll,Payroll
297,Refund of payment Salary tax PIT,A&M,Payroll 1,Payroll,Payroll
298,Salary tax PIT,A&M,Payroll 1,Payroll,Payroll
299,Salary payment BALASANOV GEORGY ARMENOVICH,A&M,Payroll 1,Payroll,Payroll
300,Transfer from UZS account to UZS Salary,NBU OF UZBEKISTAN,Cashbook,Payroll,Cashbook
301,Transfer from UZS Salary  to UZS Account,A&M,Payroll 1,Payroll,Payroll
302,Penalties PIT,A&M,Cashbook,Payroll,TAXES - VAT
303,Refund Salary tax PIT,A&M,Payroll 1,Payroll,Payroll
304,Team meeting meal,EXTRA KITCHEN GROUP,AP,Practice Development,Business Development 
305,BD meal(Latipov Davidov NMMC),NAVOIY TINCH TEKSTIL,AP,Practice Development,Business Development 
306,BD meal(Avesta Srapionov),Bistecca LLC,AP,Practice Development,Business Development 
307,BD meal(Djurabekov Minenergy),Extra Kitchen Group LLC,AP,Practice Development,Business Development 
308,Recruiting Agency Fees,HEL-DEN LLC,AP,Recruitment Fees,Business Development 
309,Recruiting Agency Fees,Hel Den LLC,AP,Recruitment Fees,Business Development 
310,Expenses reimbursement Anton Avazhanskiy,A&M ,AP,Reimbursment exp,Payroll
311,Expenses reimbursement GOROKHOVA SVETLANA OLEGOVNA,A&M,Exps,Reimbursment exp,Reimbursment exp
312,Expenses reimbursement LIKHACHEVA EVGENIYA ALEKSANDROVNA,A&M,Exps,Reimbursment exp,Reimbursment exp
313,Expenses reimbursement KHARCHENKO DENIS ALEKSANDROVICH ,A&M,Exps,Reimbursment exp,Reimbursment exp
314,Expenses reimbursement KINEV PAVEL ALEKSANDROVICH,A&M,Exps,Reimbursment exp,Reimbursment exp
315,Expenses reimbursement FEDOTOV PAVEL ALEKSEEVICH,A&M,Exps,Reimbursment exp,Reimbursment exp
316,Transfer from UZS account to UZS Salary,NBU OF UZBEKISTAN,Cashbook,Reimbursment exp,Cashbook
317,Salary tax PIT Anastasyev,A&M,Payroll 1,Subcontractors,Payroll
318,consulting services Anastasyev,A&M,Payroll 1,Subcontractors,Payroll
319,consulting servises Kouznetsov,A&M,Payroll 1,Subcontractors,Payroll
320,Salary tax social security contribution  Avazhanskiy Anton,A&M ,Payroll 1,TAXES - Payroll,Payroll
321,Salary tax social security contribution  Toporov,A&M ,Payroll 1,TAXES - Payroll,Payroll
322,Salary tax social security contribution,A&M ,AP,TAXES - Payroll,Payroll
323,Refund of payment Salary tax PIT,A&M,Payroll 1,TAXES - Payroll,Payroll
324,Salary tax Social security contribution,A&M,Payroll 1,TAXES - Payroll,Payroll
325,Salary tax Social security contribution Anastasyev,A&M,Payroll 1,TAXES - Payroll,Payroll
326,Refund Salary tax Social security contribution,A&M,Payroll 1,TAXES - Payroll,Payroll
327,Salary tax PIT,A&M,Payroll 1,TAXES - Payroll,Payroll
328,Transfer from UZS account to UZS Salary,NBU OF UZBEKISTAN,Cashbook,TAXES - Payroll,Cashbook
329,VAT,A&M,Cashbook,TAXES - VAT,TAXES - VAT
330,VAT tax agent,A&M,Cashbook,TAXES - VAT,TAXES - VAT
331,Сellular services,COSCOM LLC,AP,"Telephone, internet",Business Development 
332,Internet,Uzbektelecom,AP,"Telephone, internet",Business Development 
333,mobile phone services,COSCOM LLC,AP,"Telephone, internet",Business Development 
334,Commission for participation in electronic trading,Uzbek Republican Commodity and Raw Materials Exchange,AP,Tenders' participation,Business Development 
335,Tender participation,"JV ""XT-Xarid Texnologiyalari"" LTD",AP,Tenders' participation,Business Development 
336,Refund of payment for tender participation ,"JV ""XT-Xarid Texnologiyalari""LTD",AP,Tenders' participation,Business Development 
337,travel expenses -tickets,LANGO TRADING LLC,AP,Travel&Transport,Business Development 
338,service fees,LANGO TRADING LLC,AP,Travel&Transport,Business Development 
339,travel expenses -hotels,LANGO TRADING LLC,AP,Travel&Transport,Business Development 
340,Travel expenses,Lango Trading LLC,AP,Travel&Transport,Travel&Transport
341,Taxi services,MyTaxi,AP,Travel&Transport,Business Development 
342,travel expenses-hotels,Lango Trading LLC,AP,Travel&Transport,Travel&Transport
343,travel expenses service fees,Lango Trading LLC,AP,Travel&Transport,Travel&Transport
344,travel expenses-tickets,Lango Trading LLC,AP,Travel&Transport,Travel&Transport
345,travel expenses-tickets,Lango,AP,Travel&Transport,Travel&Transport
346,travel expenses service fees,Lango,AP,Travel&Transport,Travel&Transport
347,travel expenses-hotels,Lango,AP,Travel&Transport,Travel&Transport
348,Printing & Photocopying outside,Printuz,AP,Travel&Transport,Office supply
349,taxi services,My Taxi,AP,Travel&Transport,Business Development 
350,travel expenses-service fees,Lango,AP,Travel&Transport,Travel&Transport
351,Work permit  fees Alexeychuk Maxim,Public Services Center Yunusobod,AP,Work permits,Work permits
352,Work permit  fees Balasanov Georgy,Public Services Center Yunusobod,AP,Work permits,Work permits
353,Work permit  fees Gorokhova Svetlana,Public Services Center Yunusobod,AP,Work permits,Work permits
354,Work permit  fees Zakharov Nikita,Public Services Center Yunusobod,AP,Work permits,Work permits
355,Work permit  fees Velikhanova,Public Services Center Yunusobod,AP,Work permits,Work permits
356,Work permit  fees Gabueva,Public Services Center Yunusobod,AP,Work permits,Work permits
357,Work permit  fees Nuretdinov Oleg,Public Services Center Yunusobod,AP,Work permits,Work permits
358,Work permit  fees Petelin Nikita,Public Services Center Yunusobod,AP,Work permits,Work permits
359,Work permit  fees Pyaterneva Nataliya,Public Services Center Yunusobod,AP,Work permits,Work permits
360,Work permit  fees Avazhanskaia Nadezhda,Public Services Center Yunusobod,AP,Work permits,Work permits
361,Work permit  fees Avajansky Anton,Public Services Center Yunusobod,AP,Work permits,Work permits
362,Work permit  fees Chumakova Zhanna,Public Services Center Yunusobod,AP,Work permits,Work permits
363,Work permit  fees Kachan,Public Services Center Yunusobod,AP,Work permits,Work permits
364,Work permit  fees Kuzmin,Public Services Center Yunusobod,AP,Work permits,Work permits
365,Work permit  fees Medvedev,Public Services Center Yunusobod,AP,Work permits,Work permits
366,Work permit  fees Starostin,Public Services Center Yunusobod,AP,Work permits,Work permits
367,Work permit  fees Toporov,Public Services Center Yunusobod,AP,Work permits,Work permits
368,Work permit  fees Kharchenko,Public Services Center Yunusobod,AP,Work permits,Work permits
369,Work permit  fees Andreicheva,Public Services Center Yunusobod,AP,Work permits,Work permits
370,Work permit  fees Ekidina Anastasiya,Public Services Center Yunusobod,AP,Work permits,Work permits
371,Work permit  fees Chuikov Egor,Public Services Center Yunusobod,AP,Work permits,Work permits
372,Work permit  fees Chumakov Anton,Public Services Center Yunusobod,AP,Work permits,Work permits
373,Work permit  fees Likhacheva Evgeniya,Public Services Center Yunusobod,AP,Work permits,Work permits
374,Work permit  fees Kinev Pavel,Public Services Center Yunusobod,AP,Work permits,Work permits
375,Work permit  fees Ponomareva Sofiya,Public Services Center Yunusobod,AP,Work permits,Work permits
376,Work permit  fees Samutichev Evgenii,Public Services Center Yunusobod,AP,Work permits,Work permits
377,Work permit  fees Lukashenko Yana,Public Services Center Yunusobod,AP,Work permits,Work permits
378,Work permit  fees Khodakovsky Yaroslav,Public Services Center Yunusobod,AP,Work permits,Work permits
379,Work permit  fees Fedotov Pavel,Public Services Center Yunusobod,AP,Work permits,Work permits
380,Work permit  fees Avazhanskiy,Public Services Center Yunusobod,AP,Work permits,Work permits
381,Work permit  fees Gorokhova,Public Services Center Yunusobod,AP,Work permits,Work permits
382,Work permit  fees Balasanov,Public Services Center Yunusobod,AP,Work permits,Work permits
383,Work permit  fees Zakharov,Public Services Center Yunusobod,AP,Work permits,Work permits
384,Work permit  fees Alexeychuk,Public Services Center Yunusobod,AP,Work permits,Work permits
385,Work permit  fees Nuretdinov,Public Services Center Yunusobod,AP,Work permits,Work permits
386,Work permit  fees Chumakova,Public Services Center Yunusobod,AP,Work permits,Work permits
387,Work permit  fees Kinev,Public Services Center Yunusobod,AP,Work permits,Work permits
388,Work permit  fees Pyaterneva,Public Services Center Yunusobod,AP,Work permits,Work permits
389,Work permit  fees Petelin,Public Services Center Yunusobod,AP,Work permits,Work permits
390,Work permit  fees Yekidina,Public Services Center Yunusobod,AP,Work permits,Work permits
391,Work permit  fees Chuykov,Public Services Center Yunusobod,AP,Work permits,Work permits
392,Work permit  fees Samutichev,Public Services Center Yunusobod,AP,Work permits,Work permits
393,Work permit  fees Likhacheva,Public Services Center Yunusobod,AP,Work permits,Work permits
394,Work permit  fees Lukashenko,Public Services Center Yunusobod,AP,Work permits,Work permits
395,Work permit  fees Andreycheva,Public Services Center Yunusobod,AP,Work permits,Work permits
396,Work permit  fees Chumakov,Public Services Center Yunusobod,AP,Work permits,Work permits
397,Work permit  fees Ponomareva,Public Services Center Yunusobod,AP,Work permits,Work permits
398,Work permit  fees Fedotov,Public Services Center Yunusobod,AP,Work permits,Work permits
399,Work permit  fees Khodakovskiy,Public Services Center Yunusobod,AP,Work permits,Work permits
400,Work permit Sosnin,Public Services Center Yunusobod,AP,Work permits,Work permits
401,Work Permit Beleshova,Public Services Center Yunusobod,AP,Work permits,Work permits
402,Work Permit Astakhov,Treasury of the Ministry of Finance,AP,Work permits,Business Development 
