,Description,Vendor,Type,Expense type (CF),Category_ML
62,Bank fee for a payment order 54 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
63,Bank fee for a payment order 60 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
64,Bank fee for a payment order 62 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
65,Bank fee for a payment order 65 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
66,Bank fee for a payment order 64 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
67,Bank fee for a payment order 63 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
68,Bank fee for a payment order 66 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
69,Transfer from Corp Card account to UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
70,Bank fee for a payment order 67 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
71,Bank fee for a payment order 70 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
72,Bank fee for a payment order 72 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
73,Bank fee for a payment order 69 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
74,Bank fee for a payment order 68 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
75,Bank fee for a payment order 71 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
76,Bank fee for a payment order 73 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
77,Bank fee for a payment order 74 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
78,Bank services,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
79,Bank fee for a payment order 77 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
80,Bank fee for a payment order 75 in UZS,NBU OF UZBEKISTAN,Cashbook,Cashbook,Cashbook
